character,unicode,custom_code,original_code,glyph_slot,metric_donor_index,mapping_status,source
목,U+BAA9,0xa0c1,0x93a9,2109,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
못,U+BABB,0xa0c2,0x9db1,2108,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
무,U+BB34,0xa0c3,0x8c81,2107,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
문,U+BB38,0xa0c4,0x8cd3,2106,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
물,U+BB3C,0xa0c5,0x8ddc,2105,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
바,U+BC14,0xa0c6,0x8ea0,2104,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
반,U+BC18,0xa0c7,0x944a,2101,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
받,U+BC1B,0xa0c8,0xe08a,2099,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
발,U+BC1C,0xa0c9,0x8a7d,2098,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
방,U+BC29,0xa0ca,0x9061,2097,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
버,U+BC84,0xa0cb,0x8adf,2096,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
번,U+BC88,0xa0cc,0xe54e,2095,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
법,U+BC95,0xa0cd,0xe54b,2094,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
베,U+BCA0,0xa0ce,0x8bf8,2093,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
벨,U+BCA8,0xa0cf,0x97eb,2092,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
변,U+BCC0,0xa0d0,0x8ad2,2090,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
병,U+BCD1,0xa0d1,0x8d50,2089,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
보,U+BCF4,0xa0d2,0x9489,2087,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
복,U+BCF5,0xa0d3,0xe3a9,2085,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
봉,U+BD09,0xa0d4,0x938d,2084,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
부,U+BD80,0xa0d5,0x89b3,2083,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
북,U+BD81,0xa0d6,0x8b5b,2082,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
분,U+BD84,0xa0d7,0x89a2,2081,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
